Year,Month,Bus On-Time Performance,Bus On-Time Performance Target,Bus Fleet Reliability,Bus Fleet Reliability Target,Rail Fleet Reliability,Rail Fleet Reliability Target,Rail On-Time Performance,Rail On-Time Performance Target,Escalator Reliability,Escalator Reliability Target,Elevator Reliability,Elevator Reliability Target,Customer Injury Rate (per 1M passengers),Customer Injury Rate Target,Employee Injury Rate (per 200K hours),Employee Injury Rate Target,Crimes (per 1M passengers),Crimes Target
CY 2015,Jul,79.10%,79%,6499,8000,56446,65000,84.40%,91%,92.90%,93%,96.70%,97%,0.8,1.75,5.1,4.5,4.7,5
CY 2015,Jun,77.30%,79%,7328,8000,54779,65000,84.60%,91%,93.30%,93%,96.10%,97%,1.6,1.75,4.9,4.5,4.7,5
CY 2015,Mar,77.20%,79%,6109,8000,63588,65000,88.50%,91%,94.10%,93%,97.90%,97%,2.2,1.75,6,4.5,3.6,5
CY 2015,May,75.60%,79%,6405,8000,69260,65000,87.00%,91%,93.70%,93%,96.50%,97%,1.7,1.75,4.9,4.5,5.8,5
CY 2015,Nov,76.80%,79%,9121,8000,63564,65000,80.10%,91%,93.20%,93%,96.40%,97%,1.4,1.75,4.3,4.5,5.4,5
CY 2015,Oct,75.60%,79%,7307,8000,65900,65000,75.60%,91%,92.70%,93%,96.40%,97%,2,1.75,4.9,4.5,6.9,5
CY 2015,Sep,76.20%,79%,7542,8000,60872,65000,78.90%,91%,93.40%,93%,96.40%,97%,1.7,1.75,3.7,4.5,6.1,5
CY 2015,YTD,77.90%,79%,6852,8000,56165,65000,87.00%,91%,93.60%,93%,97.00%,97%,2.2,1.75,5.7,4.5,4.7,5
CY 2016,Apr,77.30%,79%,9119,8000,80943,65000,87.30%,91%,93.90%,93%,97.00%,97%,2.1,1.75,5.8,4.5,4.2,5
CY 2016,Aug,77.30%,79%,7389,8000,73246,65000,76.40%,91%,92.10%,93%,96.70%,97%,1.8,1.75,5.4,4.5,6.1,5
CY 2016,Feb,78.40%,79%,7827,8000,47239,65000,81.70%,91%,93.50%,93%,96.70%,97%,2.2,1.75,5.5,4.5,4.4,5
CY 2016,Jan,77.00%,79%,8301,8000,39657,65000,78.10%,91%,93.60%,93%,97.20%,97%,3.3,1.75,6.1,4.5,6.1,5
CY 2016,Jul,77.10%,79%,7514,8000,55850,65000,78.20%,91%,93.00%,93%,96.20%,97%,1.8,1.75,6,4.5,5.5,5
CY 2016,Jun,74.70%,79%,7736,8000,85389,65000,80.40%,91%,93.10%,93%,96.60%,97%,2.1,1.75,4.9,4.5,4.8,5
CY 2016,Mar,77.70%,79%,8343,8000,59131,65000,85.90%,91%,94.30%,93%,97.10%,97%,1.7,1.75,4.3,4.5,4.2,5
CY 2016,May,76.50%,79%,8711,8000,81278,65000,79.90%,91%,93.30%,93%,96.80%,97%,1.9,1.75,5.6,4.5,6.2,5
CY 2016,Sep,72.40%,79%,8231,8000,65416,65000,77.60%,91%,92.50%,93%,96.60%,97%,2,1.75,5.7,4.5,4.5,5
CY 2016,YTD,76.50%,79%,8087,8000,62116,65000,80.80%,91%,93.30%,93%,96.80%,97%,2.1,1.75,5.4,4.5,5.1,5
