Company,Tax Haven Subsidiaries,Location of Tax Haven Subsidiaries,Amount Held Offshore ($ millions),Tax Rate Paid on Offshore Cash,Estimated U.S. Tax Bill on Offshore Cash,State Located
CC Media Holdings,45,"Bahamas(1), Bermuda(1), British Virgin Islands(2), Cayman Islands(4), Costa Rica(1), Hong Kong(2), Ireland(4), Netherlands(10), Netherlands Antilles(4), Panama(1), Singapore(3), Switzerland(11), Turks and Caicos(1)",,,,Texas
CDW,,,67,,,Illinois
Celanese,15,"Bermuda(1), Cayman Islands(1), Cyprus(1), Hong Kong(1), Luxembourg(3), Netherlands(4), Singapore(4)",3800,,,Texas
Celgene,26,"Bermuda(1), Hong Kong(2), Ireland(2), Luxembourg(2), Netherlands(4), Singapore(1), Switzerland(14)",7541,,,New Jersey
CenturyLink,18,"British Virgin Islands(2), Hong Kong(5), Mauritius(1), Netherlands(6), Singapore(3), Switzerland(1)",,,,Louisiana
CH2M Hill,2,"Luxembourg(1), Netherlands(1)",331,,,Colorado
Chevron,12,"Bahamas(2), Bermuda(8), Liberia(1), Singapore(1)",35700,,,California
CHS,11,"Bermuda(1), Cyprus(1), Hong Kong(1), Luxembourg(3), Netherlands(1), Singapore(2), Switzerland(2)",,,,Minnesota
Chubb,1,Bermuda(1),,,,New Jersey
Cigna,14,"Bahrain(1), Bermuda(4), Channel Islands(1), Hong Kong(4), Malta(1), Netherlands(3)",1800,0.23,218,Connecticut
Cisco Systems,59,"Bahrain(1), Bermuda(6), Cayman Islands(1), Channel Islands(1), Costa Rica(1), Cyprus(1), Hong Kong(9), Ireland(9), Jordan(1), Luxembourg(3), Mauritius(2), Netherlands(13), Panama(1), Singapore(7), Switzerland(3)",52700,,,California
Citigroup,41,"Bahamas(7), Bermuda(3), British Virgin Islands(1), Cayman Islands(6), Costa Rica(4), Hong Kong(5), Ireland(2), Mauritius(2), Netherlands(2), Panama(1), Singapore(5), Switzerland(3)",43800,0.09,11600,New York
Clorox,11,"Bermuda(1), British Virgin Islands(1), Cayman Islands(1), Costa Rica(1), Hong Kong(2), Luxembourg(2), Panama(1), Switzerland(2)",204,0.085,54,California
CMS Energy,1,Cayman Islands(1),,,,Michigan
Coca-Cola,12,"Cayman Islands(3), Costa Rica(1), Ireland(2), Luxembourg(1), Netherlands(1), Singapore(4)",33300,,,Georgia
Coca-Cola Enterprises,4,Luxembourg(4),,,,Georgia
Cognizant Technology Solutions,15,"Channel Islands(2), Costa Rica(1), Cyprus(2), Ireland(1), Luxembourg(1), Mauritius(2), Netherlands(3), Singapore(1), Switzerland(2)",6121,,,New Jersey
Colgate-Palmolive,11,"British Virgin Islands(1), Hong Kong(2), Ireland(1), Netherlands(2), Singapore(3), Switzerland(2)",4900,,,New York
Comcast,7,"Bermuda(2), Cayman Islands(1), Netherlands(4)",,,,Pennsylvania
Commercial Metals,13,"Bermuda(2), Cyprus(1), Hong Kong(1), Luxembourg(4), Singapore(2), Switzerland(3)",488,,,Texas
Community Health Systems,2,Cayman Islands(2),,,,Tennessee
Computer Sciences,37,"Bahrain(1), British Virgin Islands(2), Costa Rica(1), Hong Kong(3), Ireland(7), Luxembourg(5), Mauritius(1), Netherlands(5), Panama(1), Singapore(10), Switzerland(1)",2552,,,Virginia
Con-way,,,32,,,Michigan
ConAgra Foods,1,Netherlands(1),660,,,Nebraska
ConocoPhillips,18,"Bahamas(1), Bermuda(5), British Virgin Islands(1), Cayman Islands(5), Liberia(1), Luxembourg(1), Netherlands(3), Singapore(1)",293,,,Texas
Corn Products International,9,"Luxembourg(4), Mauritius(2), Netherlands(2), Singapore(1)",2172,,,Illinois
Corning,12,"Ireland(1), Luxembourg(6), Mauritius(1), Netherlands(3), Singapore(1)",10300,,,New York
Costco Wholesale,,,3619,,,Washington
Crown Holdings,19,"Barbados(1), British Virgin Islands(1), Hong Kong(3), Ireland(1), Jordan(1), Luxembourg(1), Netherlands(4), Singapore(5), Switzerland(2)",774,,,Pennsylvania
CST Brands,,,965,,,Texas
Cummins,25,"Barbados(1), Costa Rica(1), Hong Kong(3), Netherlands(13), Panama(2), Singapore(5)",3800,,,Indiana
D.R. Horton,1,Turks and Caicos(1),,,,Texas
Dana Holding,15,"Bermuda(1), British Virgin Islands(2), Cayman Islands(1), Gibraltar(1), Hong Kong(3), Ireland(1), Luxembourg(4), Mauritius(1), Switzerland(1)",,,,Ohio
Danaher,34,"Hong Kong(5), Ireland(5), Netherlands(10), Singapore(5), Switzerland(9)",11800,,,District of Columbia
DaVita,4,"Netherlands(1), Singapore(3)",,,,Colorado
Dean foods,2,Netherlands(2),14,,,Texas
Deere,5,"Luxembourg(3), Singapore(1), Switzerland(1)",4677,,,Illinois
Delta Air Lines,1,Bermuda(1),,,,Georgia
Devon Energy,,,1800,,,Oklahoma
Dick's Sporting Goods,4,Hong Kong(4),,,,Pennsylvania
Dillard's,1,Bermuda(1),,,,Arkansas
DirecTV,15,"Barbados(1), British Virgin Islands(2), Cayman Islands(5), Mauritius(2), Netherlands(4), St. Lucia(1)",103,,,California
Discover Financial Services,2,"Hong Kong(1), Singapore(1)",,,,Illinois
Discovery Communications,3,"Netherlands(2), Singapore(1)",329,,,Maryland
Dollar General,1,Hong Kong(1),,,,Tennessee
Domtar,1,Switzerland(1),,,,South Carolina
Dover,31,"Barbados(1), Cayman Islands(1), Costa Rica(1), Hong Kong(3), Luxembourg(4), Netherlands(9), Singapore(4), Switzerland(7), U.S. Virgin Islands(1)",1300,,,Illinois
Dow Chemical,92,"Bahrain(3), Bermuda(7), Costa Rica(2), Hong Kong(7), Ireland(2), Luxembourg(1), Mauritius(2), Netherlands(41), Panama(1), Singapore(15), Switzerland(10), U.S. Virgin Islands(1)",18037,,,Michigan
Dr Pepper Snapple Group,3,Netherlands(3),354,,,Texas
Duke Energy,29,"Bermuda(14), Cayman Islands(5), Luxembourg(4), Netherlands(6)",,,,North Carolina
DuPont,22,"Bermuda(2), Hong Kong(2), Luxembourg(10), Netherlands(4), Singapore(1), Switzerland(3)",17226,,,Delaware
Eastman Chemical,43,"Costa Rica(1), Gibraltar(1), Hong Kong(5), Luxembourg(8), Malta(1), Mauritius(1), Netherlands(15), Singapore(10), Switzerland(1)",1600,,,Tennessee
eBay,38,"British Virgin Islands(1), Cayman Islands(1), Hong Kong(2), Ireland(5), Luxembourg(18), Mauritius(1), Netherlands(2), Singapore(4), Switzerland(4)",7900,,,California
Ecolab,80,"Antigua and Barbuda(1), Aruba(1), Bahamas(1), Barbados(1), Bermuda(1), Cayman Islands(2), Channel Islands(1), Costa Rica(1), Hong Kong(5), Ireland(4), Luxembourg(11), Malta(3), Mauritius(1), Netherlands(33), Panama(1), Singapore(4), St. Lucia(1), Switzerland(6), U.S. Virgin Islands(2)",1800,,,Minnesota
Eli Lilly,27,"Bermuda(2), British Virgin Islands(3), Cayman Islands(4), Ireland(4), Netherlands(3), Singapore(2), Switzerland(8), U.S. Virgin Islands(1)",25700,,,Indiana
EMC,4,"Ireland(3), Netherlands(1)",11800,,,Massachusetts
Emerson electric,86,"Bahrain(2), Bermuda(2), British Virgin Islands(1), Cayman Islands(4), Channel Islands(1), Costa Rica(1), Hong Kong(14), Ireland(4), Luxembourg(1), Mauritius(3), Netherlands(25), Panama(1), Singapore(14), Switzerland(13)",7100,,,Missouri
Energy Transfer Equity,7,"Bermuda(5), Netherlands(1), Panama(1)",,,,Texas
EOG Resources,17,"Cayman Islands(11), Hong Kong(1), Netherlands(5)",,,,Texas
Estée Lauder,2,"Luxembourg(1), Switzerland(1)",2918,,,New York
Exelon,6,"Luxembourg(2), Marshall Islands(4)",,,,Illinois
Expedia,18,"Cayman Islands(5), Costa Rica(1), Hong Kong(3), Ireland(1), Luxembourg(1), Mauritius(1), Netherlands(1), Singapore(4), Switzerland(1)",,,,Washington
Expeditors International of Washington,10,"Bahrain(1), Costa Rica(1), Hong Kong(1), Ireland(1), Jordan(1), Lebanon(1), Netherlands(1), Panama(1), Singapore(1), Switzerland(1)",,,,Washington (State)
Express Scripts,5,"Ireland(1), Netherlands(3), Switzerland(1)",96,,,Missouri
Exxon Mobil,37,"Bahamas(22), Bermuda(1), Cayman Islands(1), Hong Kong(2), Luxembourg(2), Netherlands(7), Singapore(2)",51000,,,Texas
Facebook,3,Ireland(3),,,,California
Family Dollar Stores,4,"Hong Kong(3), Luxembourg(1)",35,,,North Carolina
Fedex,1,Luxembourg(1),1900,,,Tennessee
Fidelity National Information Services,26,"Barbados(1), Cayman Islands(1), Channel Islands(2), Hong Kong(3), Ireland(1), Luxembourg(4), Mauritius(1), Netherlands(9), Singapore(3), Switzerland(1)",,,,Florida
Fifth Third Bancorp,4,"Hong Kong(1), Mauritius(1), Turks and Caicos(2)",,,,Ohio
First Data,35,"Bermuda(2), Costa Rica(1), Hong Kong(2), Ireland(14), Luxembourg(6), Macau(1), Mauritius(1), Netherlands(4), Panama(1), Singapore(3)",,,,Georgia
Fluor,71,"Barbados(2), Bermuda(7), British Virgin Islands(3), Channel Islands(9), Cyprus(2), Ireland(3), Liechtenstein(2), Mauritius(4), Netherlands(34), Panama(1), Singapore(3), St. Lucia(1)",,,,Texas
FMC Technologies,10,"Luxembourg(2), Netherlands(5), Singapore(1), Switzerland(2)",1619,0.05,492,Texas
Foot Locker,15,"Ireland(4), Netherlands(10), Switzerland(1)",999,,,New York
Ford Motor,4,"Mauritius(1), Netherlands(2), Switzerland(1)",4300,0.3,200,Michigan
Franklin Resources,34,"Bahamas(2), Bermuda(1), British Virgin Islands(1), Cayman Islands(12), Channel Islands(2), Hong Kong(4), Ireland(2), Luxembourg(4), Mauritius(1), Singapore(3), Switzerland(2)",7300,,,California
GameStop,10,"Ireland(5), Luxembourg(4), Switzerland(1)",595,,,Texas
Gap,7,"Hong Kong(3), Ireland(1), Netherlands(2), Singapore(1)",581,0.23,72,California
General Cable,13,"Cayman Islands(2), Channel Islands(1), Costa Rica(1), Hong Kong(2), Mauritius(3), Netherlands(1), Panama(3)",370,,,kentucky
General Dynamics,9,"Bermuda(1), Hong Kong(2), Singapore(1), Switzerland(5)",1900,,,Virginia
General Electric,18,"Bahamas(1), Bermuda(3), Ireland(2), Luxembourg(3), Netherlands(5), Singapore(4)",119000,,,Connecticut
General Mills,49,"Bermuda(7), Gibraltar(1), Hong Kong(6), Ireland(1), Lebanon(2), Luxembourg(6), Mauritius(2), Netherlands(15), Panama(1), Singapore(4), Switzerland(4)",1900,,,Minnesota
General Motors,21,"Bermuda(2), Cayman Islands(2), Hong Kong(1), Ireland(1), Netherlands(9), Singapore(2), Switzerland(4)",7100,,,Michigan
Genuine Parts,4,"Hong Kong(2), Netherlands(2)",712,,,Georgia
Genworth Financial,10,"Bermuda(3), Cayman Islands(1), Channel Islands(1), Hong Kong(2), Ireland(2), Mauritius(1)",1642,,,Virginia
Gilead Sciences,12,"Hong Kong(1), Ireland(6), Luxembourg(1), Netherlands(1), Panama(1), Singapore(1), Switzerland(1)",15600,0,5500,California
Goldman Sachs Group,20,"British Virgin Islands(1), Cayman Islands(9), Channel Islands(1), Hong Kong(2), Mauritius(4), Singapore(3)",24880,0.16,4660,New York
Goodyear Tire & Rubber,12,"Bermuda(1), Ireland(2), Luxembourg(4), Mauritius(1), Netherlands(2), Singapore(1), Switzerland(1)",2600,,,Ohio
Google,2,Ireland(2),47400,,,California
Graybar Electric,,,66,,,Missouri
Group 1 Automotive,3,"Netherlands(2), Turks and Caicos(1)",17,0.07,5,Texas
H.J. Heinz,5,"Cayman Islands(1), Gibraltar(1), Netherlands(2), Singapore(1)",,,,Pennsylvania
Halliburton,15,"Barbados(1), Bermuda(1), Cayman Islands(2), Luxembourg(2), Netherlands(7), Singapore(1), Switzerland(1)",6700,,,Texas
Hanesbrands,46,"Bermuda(1), British Virgin Islands(1), Cayman Islands(16), Costa Rica(6), Hong Kong(4), Ireland(1), Jordan(1), Luxembourg(7), Mauritius(1), Netherlands(2), Panama(3), Switzerland(3)",2400,,,North Carolina
Harley-Davidson,4,"Hong Kong(1), Netherlands(1), Singapore(1), Switzerland(1)",,,,Wisconsin
Harman International Industries,10,"Hong Kong(3), Mauritius(1), Netherlands(2), Singapore(3), Switzerland(1)",895,,,Connecticut
Hartford Financial Services,7,"Bermuda(6), Ireland(1)",,,,Connecticut
HCA Holdings,11,"Bermuda(1), Luxembourg(7), Switzerland(3)",,,,Tennessee
HD Supply,2,"Hong Kong(1), Panama(1)",,,,Georgia
Health Net,2,Cayman Islands(2),,,,California
Henry Schein,1,Switzerland(1),826,,,New York
Hershey,4,"Hong Kong(1), Netherlands(1), Singapore(2)",196,,,Pennsylvania
Hess,8,"Cayman Islands(7), Netherlands(1)",8300,,,New York
Hewlett-Packard,25,"Bermuda(1), Cayman Islands(3), Costa Rica(1), Cyprus(1), Hong Kong(1), Ireland(3), Luxembourg(1), Macau(1), Netherlands(7), Singapore(4), Switzerland(2)",42900,,,California
Hilton,26,"Aruba(1), Barbados(1), Cyprus(1), Gibraltar(1), Hong Kong(1), Isle of Man(1), Luxembourg(2), Maldives(2), Malta(1), Mauritius(1), Netherlands(10), Panama(1), Singapore(2), Switzerland(1)",,,,Virginia
Home Depot,,,3400,,,Georgia
Honeywell International,5,"Luxembourg(1), Singapore(1), Switzerland(3)",15000,,,New Jersey
Hormel Foods,1,Netherlands(1),88,,,Minnesota
Host Hotels & Resorts,18,"Cayman Islands(2), Netherlands(12), Singapore(2), U.S. Virgin Islands(2)",,,,Maryland
HRG Group,21,"Bermuda(1), British Virgin Islands(1), Cayman Islands(1), Costa Rica(1), Hong Kong(6), Ireland(1), Luxembourg(3), Netherlands(4), Panama(1), Singapore(1), Switzerland(1)",352,,,New York
Humana,1,Cayman Islands(1),,,,Kentucky
Huntington Ingalls Industries,1,Cayman Islands(1),,,,Virginia
Huntsman,28,"Cayman Islands(1), Hong Kong(6), Luxembourg(2), Netherlands(12), Panama(1), Singapore(4), Switzerland(2)",307,,,Utah
Icahn Enterprises,20,"Aruba(3), Bahrain(2), Bermuda(1), British Virgin Islands(1), Cayman Islands(1), Channel Islands(1), Hong Kong(2), Luxembourg(1), Mauritius(1), Netherlands(5), Singapore(1), Switzerland(1)",,,,New York
Illinois Tool Works,81,"Bermuda(11), British Virgin Islands(4), Costa Rica(2), Hong Kong(9), Ireland(5), Luxembourg(10), Malta(1), Mauritius(2), Netherlands(23), Singapore(11), Switzerland(3)",7100,,,Illinois
Ingram Micro,47,"Barbados(1), Bermuda(1), British Virgin Islands(6), Cayman Islands(4), Costa Rica(2), Hong Kong(4), Lebanon(1), Luxembourg(7), Mauritius(2), Netherlands(10), Singapore(7), Switzerland(2)",2100,,,California
Insight Enterprises,10,"Hong Kong(1), Ireland(1), Netherlands(6), Singapore(1), Switzerland(1)",80,,,Arizona
Intel,14,"Cayman Islands(6), Hong Kong(4), Ireland(1), Netherlands(3)",23300,,,California
International Business Machines,15,"Bahamas(1), Barbados(1), Bermuda(1), Costa Rica(1), Hong Kong(1), Ireland(2), Luxembourg(1), Malta(1), Mauritius(1), Netherlands(2), Seychelles(1), Singapore(1), Switzerland(1)",61400,,,New York
International Paper,18,"Bermuda(1), British Virgin Islands(1), Hong Kong(3), Luxembourg(5), Netherlands(4), Singapore(3), Switzerland(1)",5200,,,Tennessee
Interpublic Group,2,"Hong Kong(1), Luxembourg(1)",2214,,,New York
INTL Fcstone,6,"British Virgin Islands(1), Ireland(1), Netherlands(2), Singapore(2)",175,,,New York
J.M. Smucker,3,"Hong Kong(1), Netherlands(2)",249,,,Ohio
J.P. Morgan Chase & Co.,4,"Ireland(1), Luxembourg(2), Mauritius(1)",31100,0.12,7000,New York
Jabil Circuit,36,"Bermuda(1), British Virgin Islands(8), Cayman Islands(3), Channel Islands(1), Hong Kong(8), Ireland(2), Luxembourg(3), Mauritius(2), Netherlands(3), Singapore(5)",2300,,,Florida
Jacobs Engineering Group,12,"Hong Kong(1), Ireland(1), Luxembourg(1), Macau(1), Netherlands(3), Panama(1), Singapore(4)",26,0.07,7,California
Jarden,27,"Bahamas(2), Bermuda(1), Cayman Islands(2), Costa Rica(1), Hong Kong(10), Luxembourg(4), Macau(1), Netherlands(3), Switzerland(3)",1200,,,Florida
JetBlue Airways,1,Bermuda(1),,,,New York
Johnson & Johnson,58,"Hong Kong(1), Ireland(22), Luxembourg(4), Netherlands(11), Singapore(1), Switzerland(19)",53400,,,New Jersey
Johnson Controls,,,8100,,,Wisconsin
KBR,10,"Cayman Islands(4), Netherlands(5), Singapore(1)",,,320,Texas
Kellogg,34,"Bermuda(3), Cayman Islands(2), Costa Rica(1), Cyprus(1), Hong Kong(2), Ireland(10), Luxembourg(7), Malta(1), Netherlands(2), Panama(1), Singapore(1), Switzerland(3)",2200,,,Michigan
Kelly Services,10,"Luxembourg(2), Netherlands(3), Singapore(3), Switzerland(2)",111,,,Michigan
Kimberly-Clark,42,"Bahrain(1), Barbados(1), Bermuda(1), Cayman Islands(7), Channel Islands(2), Costa Rica(2), Cyprus(1), Hong Kong(2), Luxembourg(4), Malta(1), Netherlands(10), Panama(2), Singapore(7), Switzerland(1)",8600,,,Texas
Kindred Healthcare,1,Cayman Islands(1),,,,Kentucky
KKR,258,"Cayman Islands(217), Channel Islands(6), Cyprus(1), Hong Kong(3), Ireland(12), Luxembourg(6), Mauritius(5), Singapore(8)",,,,New York
Kraft Foods Group,2,Netherlands(2),578,0.15,118,Illinois
L-3 Communications,6,"Costa Rica(1), Hong Kong(2), Ireland(1), Netherlands(1), Singapore(1)",331,,,New York
Laboratory Corp. of America,,"Costa Rica(1), Hong Kong(2), Ireland(1), Netherlands(1), Singapore(1)",30,0.29,2,North Carolina
